Initials,DateBlkTrtmnt,Date,Block,Treatment,CountType,Insect.type,Concat_DBT_sp_num,DG_Spec_ID_code,Jaime_Family_ID.x,Jaime_Genus_ID.x,Jaime_Species_ID.x,Jaime_GenusSpeciesID.x,Jaime_Sex_ID.x,PlantCode.x,InsectGenus,InsectSpecies,TypeGenusSpeInsect,PhotoPacket,Idnotes,Sex,Count,PlantGenus,PlantSpecies,Pollen_Nectar,Idnumber,captured.,Notes.x,Jaime_Family_ID.y,Jaime_Genus_ID.y,Jaime_Species_ID.y,Jaime_GenusSpeciesID.y,Jaime_Sex_ID.y,PlantCode.y,DGPrelimFam,DGPrelimGenus,DGPrelimSp,DGPrelimGenSp,DGPrelimSex,...13,Notes.y
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Bee,22Jul2024stavhp8,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp8,"yellow underneath, no corbicula, 13 segments",male,1,Horkelia,californica,,p8,y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,1,Horkelia,californica,,,missed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,snapshot,Bee,24Jul2024fscgnh,,,,,,,,,,Bee  ,,,,1,Achillea,millefolium,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,snapshot,Hoverfly,24Jul2024fscgnh,,,,,,,,,,Hoverfly  ,,,,1,Achillea,millefolium,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N1,Hoverfly,24Jul2024fscgnhp1,,,,,,,,Helophilus?,,Hoverfly Helophilus? ,24Jul2024fscgNHp1,,,1,Achillea,millefolium,,p1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N1,Bee,24Jul2024fscgnhs1,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Achillea,millefolium,,s1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N1,Wasp,24Jul2024fscgnhp2,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,24Jul2024fscgNHp2,,,1,,,,p2,,on leaves Fragaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N1,Hoverfly,24Jul2024fscgnhmissed,,,,,,,,,,Hoverfly  ,,,,1,Achillea,millefolium,,missed,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N1,Bee,24Jul2024fscgnhmissed,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Achillea,millefolium,,missed,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N1,Wasp,24Jul2024fscgnhmissed,,,,,,,,,,Wasp  ,,,,1,Achillea,millefolium,,missed,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N1,Bee,24Jul2024fscgnhs2,,,,,,,,,,Bee  ,,,,1,Eriogonum ,latifolium,,s2,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N1,Wasp,24Jul2024fscgnhp3,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,24Jul2024fschNHp3,,,1,Achillea,millefolium,,p3,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N1,Hoverfly,24Jul2024fscgnhp4,,,,,,,,Eristalis,,Hoverfly Eristalis ,24Jul2024fscgNHp4,,,1,Achillea,millefolium,,p4,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Hoverfly,24Jul2024fscgnhp5,,,,,,,,Eristalis,,Hoverfly Eristalis ,24Jul2024fscgNHp5,,,1,Achillea,millefolium,,p5,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Bee,24Jul2024fscgnhs3,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Achillea,millefolium,,s3,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Bee,24Jul2024fscgnhs4,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Achillea,millefolium,,s4,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Wasp,24Jul2024fscgnhp6,,,,,,,,Pompilidae,,Wasp Pompilidae ,24Jul2024fscgNHp6,,,1,Achillea,millefolium,,p6,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Hoverfly,24Jul2024fscgnhp7,,,,,,,,Allograpta,obliqua,Hoverfly Allograpta obliqua,24Jul2024FfscgNHp7,,,1,Achillea,millefolium,,p7,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Wasp,24Jul2024fscgnhp8,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,24Jul2024fscgNHp8,,,1,Achillea,millefolium,,p8,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Bee,24Jul2024fscgnhs5,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Achillea,millefolium,,s5,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Bee,24Jul2024fscgnhs6,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Achillea,millefolium,,s6,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Bee,24Jul2024fscgnhs7,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Eriogonum ,latifolium,,s7,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DG,24Jul2024fscgnh,24Jul2024,fscg,nh,N2,Bee,24Jul2024fscgnhs8,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Achillea,millefolium,,s8,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,01Sep2024eawac,01Sep2024,eawa,c,snapshot,,01Sep2024eawac,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,01Sep2024eawac,01Sep2024,eawa,c,N1,Wasp,01Sep2024eawacp1,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,01Sep2024eawaCp1,"broken goggles, black diamond, no yellow on scape T1",,1,Pittosporum,,,p1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,01Sep2024eawac,01Sep2024,eawa,c,N2,Wasp,01Sep2024eawacp2,,,,,,,,Eumeninae,,Wasp Eumeninae ,01Sep2024eawaCp2,"fully black goggles, dark thorax",,1,Pittosporum,,,p2,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,01Sep2024eawac,01Sep2024,eawa,c,N2,Bee,01Sep2024eawacs1,,,,,,,,"small, dark",,"Bee small, dark ",,,,1,Pittosporum,,,s1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,01Sep2024eawac,01Sep2024,eawa,c,N2,Wasp,01Sep2024eawacp3,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,01Sep2024eawaCp3,"no yellow on the scape, short cheek, unbroken yellow T1",,1,Pittosporum,,,p3,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,01Sep2024eawac,01Sep2024,eawa,c,N2,Hoverfly,01Sep2024eawacp4,,,,,,,,Eupeodes,fumipennis,Hoverfly Eupeodes fumipennis,01Sep2024eawaCp4,yellow T1 not connected,,1,Pittosporum,,,p4,yes,leaf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,02Oct2024stavh,02Oct2024,stav,h,snapshot,,02Oct2024stavh,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,02Oct2024stavh,02Oct2024,stav,h,N1,Bee,02Oct2024stavhp1,,,,,,,,Bombus,vosnesenskii,Bee Bombus vosnesenskii,02Oct2024stavHp1,"corbicula, no yellow",female,1,Grindelia,stricta,,p1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,02Oct2024stavh,02Oct2024,stav,h,N2,Bee,02Oct2024stavhp2,,,,,,,,Bombus,edwardsii,Bee Bombus edwardsii,02Oct2024stavHp2,"center of thorax surrounded by yellow, T1 yellow, T2&T3 black",female,1,Horkelia,californica,,p2,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,02Oct2024stavh,02Oct2024,stav,h,N2,Bee,02Oct2024stavhp3,,,,,,,,Agapostamon,texanus,Bee Agapostamon texanus,02Oct2024stavHp3,dark spots only on the outer thigh,,1,Grindelia,stricta,,p3,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,26Aug2024wywec,26Aug2024,wywe,c,snapshot,,26Aug2024wywec,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,26Aug2024wywec,26Aug2024,wywe,c,N1,,26Aug2024wywec,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,26Aug2024wywec,26Aug2024,wywe,c,N2,Wasp,26Aug2024wywecp1,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,26Aug2024wyweCp1,"short cheek, no diamond, backstraps, continuous yellow T1",,1,Ground,,,p1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,26Aug2024wywec,26Aug2024,wywe,c,N2,Bee,26Aug2024wywecs1,,,,,,,,"small, dark",,"Bee small, dark ",,,,1,Lantana,,,s1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,26Aug2024wywec,26Aug2024,wywe,c,snapshot,,26Aug2024wywec,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,23Sep2024poofnh,23Sep2024,poof,nh,snapshot,,23Sep2024poofnh,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,23Sep2024poofnh,23Sep2024,poof,nh,N1,Wasp,23Sep2024poofnhp1,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,23Sep2024poofNHp1,"no diamond, short cheek, backstraps, broken yellow",,1,Madia,sativa,,p1,yes,senesced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,23Sep2024poofnh,23Sep2024,poof,nh,N2,Wasp,23Sep2024poofnhp2,,,,,,,,Eumeninae,,Wasp Eumeninae ,23Sep2024poofNHp2,"no diamond, no backstraps, dark",,1,Madia,sativa,,p2,yes,senesced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,snapshot,Hoverfly,17Jul2024mpsuh,,,,,,,,,,Hoverfly  ,,,,NA,Symphyotrichum,chilense,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,snapshot,Bee,17Jul2024mpsuh,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Conolvulus,arvensis,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N1,Hoverfly,17Jul2024mpsuhp1,,,,,,,,Eristalis,,Hoverfly Eristalis ,17Jul2024mpsuHp1,,,1,Symphyotrichum,chilense,,p1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N1,Wasp,17Jul2024mpsuhp2,,,,,,,,Dolichovespula,arenaria,Wasp Dolichovespula arenaria,17Jul2024mpsuHp2,"broken goggles, checkmark, gap on yellow T1",,1,Perideridia,kellogii,,p2,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N1,Bee,17Jul2024mpsuhp3,,,,,,,,Apis,mellifera,Bee Apis mellifera,17Jul2024mpsuHp3,"hairy thorax, long atennas",,1,Grindelia,hirsistula,,p3,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N1,Bee,17Jul2024mpsuhp4,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,17Jul2024mpsuHp4,"no corbicula, yellow underneath & tergites",,1,Horkelia,californica,,p4,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N1,Bee,17Jul2024mpsuhs1,,,,,,,,"small,dark",,"Bee small,dark ",,,,1,Grindelia,hirsistula,,s1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N1,Bee,17Jul2024mpsuhs2,,,,,,,,"small, dark",,"Bee small, dark ",,,,1,Grindelia,hirsistula,,s2,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N1,Bee,17Jul2024mpsuhp5,,,,,,,,Bombus,caliginosus,Bee Bombus caliginosus,17Jul2024mpsuHp5,"yellow sternites under, front yellow, T4 yellow",female,1,Horkelia,californica,,p5,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N1,Bee,17Jul2024mpsuhp6,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,17Jul2024mpsuHp6,"T4 yellow, yellow on sternites & thorax",male,1,Horkelia,californica,,p6,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N1,Hoverfly,17Jul2024mpsuhp7,,,,,,,,,,Hoverfly  ,17Jul2024mpsuHp7,,,1,Grindelia,hirsistula,,p7,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N2,Wasp,17Jul2024mpsuhp8,,,,,,,,Dolichovespula,arenaria,Wasp Dolichovespula arenaria,17Jul2024mpsuHp8,"broken goggles, checkmark on thorax, T1 gap in yellow",,1,Perideridia,kellogii,,p8,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N2,Bee,17Jul2024mpsuhp9,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,,"13 antennal cells, yellow underneath",male,1,Grindelia,hirsistula,,p9,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N2,Hoverfly,17Jul2024mpsuhp10,,,,,,,,,,Hoverfly  ,17Jul2024mpsuHp10,,,1,Grindelia,hirsistula,,p10,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N2,Hoverfly,17Jul2024mpsuhp11,,,,,,,,,,Hoverfly  ,17Jul2024mpsuHp11,,,1,Perideridia,kellogii,,p11,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,17Jul2024mpsuh,17Jul2024,mpsu,h,N2,Wasp,17Jul2024mpsuhp12,,,,,,,,Dolichovespula,arenaria,Wasp Dolichovespula arenaria,17Jul2024mpsuHp12,"discontinued yellow, backstraps, checkmark",,1,Perideridia,kellogii,,p12,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,21Aug2024mpsuc,21Aug2024,mpsu,c,snapshot,,21Aug2024mpsuc,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,21Aug2024mpsuc,21Aug2024,mpsu,c,N1,,21Aug2024mpsuc,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,21Aug2024mpsuc,21Aug2024,mpsu,c,N2,,21Aug2024mpsuc,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,26Aug2024wywenh,26Aug2024,wywe,nh,snapshot,,26Aug2024wywenh,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,26Aug2024wywenh,26Aug2024,wywe,nh,N1,Wasp,26Aug2024wywenhp1,,,,,,,,Eumeninae,,Wasp Eumeninae ,26Aug2024wyweNHp1,,,1,,,,p1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,26Aug2024wywenh,26Aug2024,wywe,nh,N1,Wasp,26Aug2024wywenhp2,,,,,,,,Pompilidae,,Wasp Pompilidae ,26Aug2024wyweNHp2,,,1,,,,p2,,leaf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,26Aug2024wywenh,26Aug2024,wywe,nh,N2,,26Aug2024wywenh,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Apr2024ymcah,22Apr2024,ymca,h,snapshot,Bee,22Apr2024ymcah,,,,,,,,Bombus,,Bee Bombus ,,,,1,Grevillea,lanigera,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Apr2024ymcah,22Apr2024,ymca,h,N1,Fly,22Apr2024ymcahp1,,,,,,,,Cephus,cinctus,Fly Cephus cinctus,22Apr2024ymcaHp1,,,1,Ranunculus,californicus,,p1,yes,bug guide ID-ed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Apr2024ymcah,22Apr2024,ymca,h,N2,,22Apr2024ymcah,,,,,,,,,,  ,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,snapshot,Bee,29Jul2024ymcah,,,,,,,,,,Bee  ,,,,1,Grindelia,hirsistula,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Bee,29Jul2024ymcah,,,,,,,,Agapostamon,,Bee Agapostamon ,,,,1,Symphyotrichum,chilense,,,missed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Bee,29Jul2024ymcah,,,,,,,,Agapostamon,,Bee Agapostamon ,,,,1,Symphyotrichum,chilense,,,missed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Bee,29Jul2024ymcahp1,,,,,,,,Agapostamon,texanus,Bee Agapostamon texanus,29Jul2024ymcaHp1,"hind tibia dark line, dark spots and inner and outer thighs",male,1,Symphyotrichum,chilense,,p1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Bee,29Jul2024ymcahp2,,,,,,,,Agapostamon,,Bee Agapostamon ,29Jul2024ymcaHp2,"raised carina, no indent in the eye",female,1,Symphyotrichum,chilense,,p2,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Wasp,29Jul2024ymcah,,,,,,,,Vespula,,Wasp Vespula ,,,,1,,,,,missed,ground,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Bee,29Jul2024ymcahp3,,,,,,,,Agapostamon,texanus,Bee Agapostamon texanus,29Jul2024ymcaHp3,hind tibia dark line,male,1,Fumaria,capreolata,,p3,yes,leaf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Bee,29Jul2024ymcahs1,,,,,,,,"small, dark",,"Bee small, dark ",,,,1,Grindelia,hirsistula,,s1,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Bee,29Jul2024ymcah,,,,,,,,"small, dark",,"Bee small, dark ",,,,1,Perideridia,kellogii,,,missed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Bee,29Jul2024ymcah,,,,,,,,"small, dark",,"Bee small, dark ",,,,1,Symphyotrichum,chilense,,,missed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Bee,29Jul2024ymcahs2,,,,,,,,"small, dark",,"Bee small, dark ",,,,1,Grindelia,hirsistula,,s2,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N1,Wasp,29Jul2024ymcah,,,,,,,,Vespula,,Wasp Vespula ,,,,1,Grevillea,lanigera,,,missed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N2,Bee,29Jul2024ymcahs3,,,,,,,,Megachilidae,,Bee Megachilidae ,,,,1,Symphyotrichum,chilense,,s3,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,29Jul2024ymcah,29Jul2024,ymca,h,N2,Bee,29Jul2024ymcah,,,,,,,,,,Bee  ,,,,1,Symphyotrichum,chilense,,,missed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
