Initials,DateBlkTrtmnt,Date.x,Block.x,Treatment,CountType,Insect.type,Concat_DBT_sp_num,DG_Spec_ID_code,Jaime_Family_ID.x,Jaime_Genus_ID.x,Jaime_Species_ID.x,Jaime_GenusSpeciesID.x,Jaime_Sex_ID.x,PlantCode.x,InsectGenus,InsectSpecies,TypeGenusSpeInsect,PhotoPacket,Idnotes,Sex,Count,PlantGenus,PlantSpecies,Pollen_Nectar,Idnumber,captured.,Notes.x,Date.y,Block.y,Trtmnt,Loc,Time,Netter,AvegWindMph,TempC,Humidity,CloudCover,PercentInSun,Genus,Species,TotalOpenFl,TotalCloseFl,Plnt_categ,NatorNon,Notes.y,...20,Jaime_Family_ID.y,Jaime_Genus_ID.y,Jaime_Species_ID.y,Jaime_GenusSpeciesID.y,Jaime_Sex_ID.y,PlantCode.y,DGPrelimFam,DGPrelimGenus,DGPrelimSp,DGPrelimGenSp,DGPrelimSex,...13,Notes
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,snapshot,Bee,22Jul2024stavh,,,,,,,,Bombus,,Bee Bombus ,,,,1,Horkelia,californica,,,,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp1,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp1,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p1,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp1,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp1,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p1,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp1,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp1,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p1,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp1,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp1,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p1,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp1,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp1,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p1,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp2,,,,,,,,Bobmus,vos/calig,Bee Bobmus vos/calig,22Jul2024stavHp2,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p2,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp2,,,,,,,,Bobmus,vos/calig,Bee Bobmus vos/calig,22Jul2024stavHp2,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p2,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp2,,,,,,,,Bobmus,vos/calig,Bee Bobmus vos/calig,22Jul2024stavHp2,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p2,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp2,,,,,,,,Bobmus,vos/calig,Bee Bobmus vos/calig,22Jul2024stavHp2,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p2,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp2,,,,,,,,Bobmus,vos/calig,Bee Bobmus vos/calig,22Jul2024stavHp2,"yellow T4, no corbicula, yellow underneath, shaggy ",male,1,Horkelia,californica,,p2,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp3,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp3,"yellow T4, 13 segments, a lot yellow underneath",male,1,Horkelia,californica,,p3,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp3,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp3,"yellow T4, 13 segments, a lot yellow underneath",male,1,Horkelia,californica,,p3,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp3,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp3,"yellow T4, 13 segments, a lot yellow underneath",male,1,Horkelia,californica,,p3,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp3,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp3,"yellow T4, 13 segments, a lot yellow underneath",male,1,Horkelia,californica,,p3,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp3,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp3,"yellow T4, 13 segments, a lot yellow underneath",male,1,Horkelia,californica,,p3,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp4,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp4,"lots of yellow underneath, shaggy, no corbicula",male,1,Horkelia,californica,,p4,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp4,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp4,"lots of yellow underneath, shaggy, no corbicula",male,1,Horkelia,californica,,p4,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp4,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp4,"lots of yellow underneath, shaggy, no corbicula",male,1,Horkelia,californica,,p4,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp4,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp4,"lots of yellow underneath, shaggy, no corbicula",male,1,Horkelia,californica,,p4,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp4,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp4,"lots of yellow underneath, shaggy, no corbicula",male,1,Horkelia,californica,,p4,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp5,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp5,"yellow underneath, 13 segments",male,1,Horkelia,californica,,p5,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp5,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp5,"yellow underneath, 13 segments",male,1,Horkelia,californica,,p5,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp5,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp5,"yellow underneath, 13 segments",male,1,Horkelia,californica,,p5,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp5,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp5,"yellow underneath, 13 segments",male,1,Horkelia,californica,,p5,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp5,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp5,"yellow underneath, 13 segments",male,1,Horkelia,californica,,p5,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp6,,,,,,,,Bombus,calig,Bee Bombus calig,22Jul2024stavHp6,"yellow underneath, pollen ball",female,1,Horkelia,californica,,p6,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp6,,,,,,,,Bombus,calig,Bee Bombus calig,22Jul2024stavHp6,"yellow underneath, pollen ball",female,1,Horkelia,californica,,p6,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp6,,,,,,,,Bombus,calig,Bee Bombus calig,22Jul2024stavHp6,"yellow underneath, pollen ball",female,1,Horkelia,californica,,p6,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp6,,,,,,,,Bombus,calig,Bee Bombus calig,22Jul2024stavHp6,"yellow underneath, pollen ball",female,1,Horkelia,californica,,p6,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Bee,22Jul2024stavhp6,,,,,,,,Bombus,calig,Bee Bombus calig,22Jul2024stavHp6,"yellow underneath, pollen ball",female,1,Horkelia,californica,,p6,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Wasp,22Jul2024stavhp7,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,22Jul2024stavHp7,"no diamond, continuous yellow, short cheek, no checkmark",,1,Horkelia,californica,,p7,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Wasp,22Jul2024stavhp7,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,22Jul2024stavHp7,"no diamond, continuous yellow, short cheek, no checkmark",,1,Horkelia,californica,,p7,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Wasp,22Jul2024stavhp7,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,22Jul2024stavHp7,"no diamond, continuous yellow, short cheek, no checkmark",,1,Horkelia,californica,,p7,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Wasp,22Jul2024stavhp7,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,22Jul2024stavHp7,"no diamond, continuous yellow, short cheek, no checkmark",,1,Horkelia,californica,,p7,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N1,Wasp,22Jul2024stavhp7,,,,,,,,Vespula,alascensis,Wasp Vespula alascensis,22Jul2024stavHp7,"no diamond, continuous yellow, short cheek, no checkmark",,1,Horkelia,californica,,p7,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Wasp,22Jul2024stavh,,,,,,,,Vespula,,Wasp Vespula ,,,,1,Loropetalum,chinense,,,missed,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Wasp,22Jul2024stavh,,,,,,,,Vespula,,Wasp Vespula ,,,,1,Loropetalum,chinense,,,missed,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Wasp,22Jul2024stavh,,,,,,,,Vespula,,Wasp Vespula ,,,,1,Loropetalum,chinense,,,missed,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Wasp,22Jul2024stavh,,,,,,,,Vespula,,Wasp Vespula ,,,,1,Loropetalum,chinense,,,missed,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Wasp,22Jul2024stavh,,,,,,,,Vespula,,Wasp Vespula ,,,,1,Loropetalum,chinense,,,missed,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Loropetalum,chilense,22,0,ornamental,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Bee,22Jul2024stavhp8,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp8,"yellow underneath, no corbicula, 13 segments",male,1,Horkelia,californica,,p8,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Symphyotrichum,chilense,48,8,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Bee,22Jul2024stavhp8,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp8,"yellow underneath, no corbicula, 13 segments",male,1,Horkelia,californica,,p8,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Horkelia,californica,35,0,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Bee,22Jul2024stavhp8,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp8,"yellow underneath, no corbicula, 13 segments",male,1,Horkelia,californica,,p8,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Grindelia,stricta,3,5,native,nat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,22Jul2024stavh,22Jul2024,stav,h,N2,Bee,22Jul2024stavhp8,,,,,,,,Bombus,vos/calig,Bee Bombus vos/calig,22Jul2024stavHp8,"yellow underneath, no corbicula, 13 segments",male,1,Horkelia,californica,,p8,y,,22Jul2024,stav,h,1291 B,0.62152777777777779,DG,6.1,16.7,88,75,100,Malva,NA,30,135,weedy,non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
